,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,risk
69,2023-01-26,5.7,-0.2,67.2,0.0,242.2,10.5,1033.8,5.0,1
70,2023-01-27,0.1,-0.9,93.2,12.4,270.0,11.4,1022.2,16.0,1
71,2023-01-28,-1.1,-2.6,89.3,1.9,285.6,6.2,1016.9,15.0,1
72,2023-01-29,-9.1,-12.5,77.2,0.0,73.0,6.6,1026.2,3.0,0
73,2023-01-30,-11.0,-15.1,72.5,0.0,29.2,3.7,1029.4,3.0,0
74,2023-01-31,-5.5,-10.0,71.4,0.0,266.0,5.1,1022.9,3.0,0
75,2023-02-01,-0.7,-13.1,40.2,0.0,350.0,1.9,1019.3,3.0,0
76,2023-02-02,-2.4,-9.2,61.6,0.0,70.9,5.6,1021.1,3.0,0
77,2023-02-03,-3.9,-8.3,71.6,0.7,83.0,10.3,1018.8,15.0,1
78,2023-02-04,-0.1,-1.5,90.2,5.6,30.3,5.9,1016.1,15.0,1
79,2023-02-05,0.1,-1.0,92.6,6.1,28.8,7.2,1007.5,15.0,2
80,2023-02-06,-0.2,-1.2,92.8,11.3,265.1,12.5,1021.6,16.0,3
81,2023-02-07,0.1,-1.0,91.8,15.5,310.7,5.9,1021.3,16.0,2
82,2023-02-08,-1.9,-3.2,90.5,5.4,273.0,11.7,1024.5,21.0,2
83,2023-02-09,-1.6,-3.8,85.4,0.0,70.0,6.7,1028.0,3.0,1
84,2023-02-10,-0.7,-2.2,89.3,2.7,26.9,5.7,1020.2,16.0,1
85,2023-02-11,-0.6,-1.9,90.7,0.0,256.0,6.9,1021.3,5.0,1
86,2023-02-12,0.9,-3.7,73.8,0.0,251.3,6.4,1022.4,5.0,2
87,2023-02-13,-0.4,-1.6,91.4,11.1,271.4,13.2,1008.6,16.0,2
88,2023-02-14,-4.2,-6.0,87.3,12.1,283.4,10.9,1009.7,21.0,1
89,2023-02-15,-4.7,-7.2,82.6,0.0,272.7,8.2,1023.9,5.0,1
90,2023-02-16,-3.0,-6.1,79.4,0.0,5.8,2.7,1022.3,5.0,1
91,2023-02-17,-1.6,-3.4,88.0,5.1,300.9,4.6,1020.3,16.0,1
92,2023-02-18,-1.7,-3.0,90.7,3.2,273.7,11.9,1016.9,15.0,1
